,smoothed_sentiment,smoothed_sentiment_weibull,smoothed_sentiment_weibull_week
2024-01-01 06:00:00+00:00,0.0,0.0,0.0
2024-01-01 07:00:00+00:00,0.9986226851851852,0.012845241311030701,0.002270806077779436
2024-01-01 08:00:00+00:00,0.9569560185185185,0.3897267373385786,0.07090181452481066
2024-01-01 09:00:00+00:00,0.9152893518518519,0.7043637821019079,0.13916403744539285
2024-01-01 10:00:00+00:00,0.8736226851851852,0.9128762547172431,0.2067037029947204
2024-01-01 11:00:00+00:00,0.8319560185185185,0.9975210144692133,0.27317328838937216
2024-01-01 12:00:00+00:00,0.7902893518518519,0.967717079079887,0.33823449822305207
2024-01-01 13:00:00+00:00,0.7486226851851852,0.8530124454583656,0.4015611314520009
2024-01-01 14:00:00+00:00,0.7069560185185185,0.6917289964437887,0.46284180306523476
2024-01-01 15:00:00+00:00,0.6652893518518519,0.5198991681546243,0.5217824886982271
2024-01-01 16:00:00+00:00,0.6236226851851852,0.3639083167157876,0.5781088631672774
2024-01-01 17:00:00+00:00,0.5819560185185184,0.23800275994183342,0.631568407044618
2024-01-01 18:00:00+00:00,0.5402893518518519,0.14578357178666138,0.6819322589027583
2024-01-01 19:00:00+00:00,0.49862268518518515,0.08377708349461677,0.7289967946658589
2024-01-01 20:00:00+00:00,0.4569560185185185,0.04522771271319986,0.7725849195464253
2024-01-01 21:00:00+00:00,0.4152893518518518,0.022961074859464213,0.8125470622443108
2024-01-01 22:00:00+00:00,0.37362268518518515,0.010970877171314872,0.8487618653671362
2024-01-01 23:00:00+00:00,0.3319560185185185,0.00493670341831499,0.8811365703217812
2024-01-02 00:00:00+00:00,0.2902893518518518,0.0020932084555316745,0.9096070991518848
2024-01-02 01:00:00+00:00,0.24862268518518515,0.0008366829998624415,0.9341378398854413
2024-01-02 02:00:00+00:00,0.20695601851851853,0.00031538742622141177,0.9547211458429666
2024-01-02 03:00:00+00:00,0.16528935185185178,0.00011215013984409552,0.9713765629790866
2024-01-02 04:00:00+00:00,0.12362268518518515,3.7630872345002485e-05,0.984149802634233
2024-01-02 05:00:00+00:00,0.08195601851851853,1.1917316363687378e-05,0.9931114800112611
2024-01-02 06:00:00+00:00,0.040289351851851785,3.562785242747996e-06,0.9983556412254778
2024-01-02 07:00:00+00:00,0.0,1.00566644444498e-06,0.9999981038757204
2024-01-02 08:00:00+00:00,0.0,2.68063843685349e-07,0.9981746377279044
2024-01-02 09:00:00+00:00,0.0,6.748409987629298e-08,0.9930390132792273
2024-01-02 10:00:00+00:00,0.0,1.6047076280084635e-08,0.984760946678463
2024-01-02 11:00:00+00:00,0.9948726851851852,0.04780018411801515,0.9819773716007201
2024-01-02 12:00:00+00:00,0.9532060185185185,0.4214021990520007,1.0365890652383467
2024-01-02 13:00:00+00:00,1.8828819444444445,0.9917283234363854,1.13546951319078
2024-01-02 14:00:00+00:00,1.7995486111111112,1.531593093522427,1.2524496648328467
2024-01-02 15:00:00+00:00,3.685497685185185,2.139191517101362,1.4162364091515014
2024-01-02 16:00:00+00:00,3.5188310185185183,2.95232908768473,1.6621787581792866
2024-01-02 17:00:00+00:00,3.352164351851852,3.4044919346356957,1.9023997528147703
2024-01-02 18:00:00+00:00,3.185497685185185,3.486379195525875,2.1357748100279563
2024-01-02 19:00:00+00:00,3.0188310185185183,3.2534509542836547,2.3612226148668585
2024-01-02 20:00:00+00:00,2.852164351851852,2.8034575434231126,2.5777142679273664
2024-01-02 21:00:00+00:00,2.685497685185185,2.247492363343287,2.7842818992155793
2024-01-02 22:00:00+00:00,2.5188310185185183,1.68410140335274,2.980026642204841
2024-01-02 23:00:00+00:00,2.352164351851852,1.1830535845762358,3.1641258713119527
2024-01-03 00:00:00+00:00,2.185497685185185,0.7806937265242495,3.335839616963636
2024-01-03 01:00:00+00:00,2.0188310185185188,0.4846217832280588,3.4945160846857157
2024-01-03 02:00:00+00:00,1.8521643518518518,0.28327126187376694,3.639596217990493
2024-01-03 03:00:00+00:00,1.6854976851851853,0.15602496805404567,3.7706172590100646
2024-01-03 04:00:00+00:00,1.5188310185185183,0.08102378658324733,3.887215275559951
2024-01-03 05:00:00+00:00,1.3521643518518518,0.03968597716006009,3.989126638345969
2024-01-03 06:00:00+00:00,1.1854976851851853,0.018340350246684463,4.076188447074628
2024-01-03 07:00:00+00:00,1.0188310185185185,0.007999001163705962,4.148337919024786
2024-01-03 08:00:00+00:00,1.8431712962962963,0.08705910872315416,4.220437210354034
2024-01-03 09:00:00+00:00,1.6348379629629628,0.4547534003540192,4.331555266871481
2024-01-03 10:00:00+00:00,1.4265046296296298,0.7517745382227418,4.427718568661854
2024-01-03 11:00:00+00:00,1.223298611111111,0.9378249796911872,4.508886334200932
2024-01-03 12:00:00+00:00,2.0442939814814816,1.1148043178483302,4.595447819964716
2024-01-03 13:00:00+00:00,2.8485416666666667,1.5820605472918223,4.741928791297687
2024-01-03 14:00:00+00:00,1.672997685185185,1.8065703109019662,4.861363861516792
2024-01-03 15:00:00+00:00,2.4987731481481483,2.112178923800355,5.013901453643218
2024-01-03 16:00:00+00:00,2.3737731481481483,2.2466603517793486,5.1564109208347455
2024-01-03 17:00:00+00:00,2.2487731481481483,2.188683463213155,5.283057586039632
2024-01-03 18:00:00+00:00,3.0824074074074073,2.3523137266591267,5.461823803871666
2024-01-03 19:00:00+00:00,2.9157407407407403,2.3606281879280844,5.624632259473416
2024-01-03 20:00:00+00:00,3.746840277777778,2.245688849459935,5.774321021432857
2024-01-03 21:00:00+00:00,3.5385069444444444,2.3730464695775533,5.971889102616786
