UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
HOUR,1694541600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25903.04,26021.4,25882.43,25980.28,1694541600,1694545199,25919.61,26021.4,1694542744,25882.43,1694542243,25980.28,29725,15843,13882,0,1192.92514,30957592.7327899,599.44303,15555610.7377738,593.48211,15401981.9950161,0,0,2023-09-12 18:00:00+00:00
HOUR,1694545200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25980.28,26265.98,25980.28,26066.33,1694545200,1694548799,25980.28,26265.98,1694546242,25980.28,1694545201,26066.33,42217,24095,18122,0,1950.17233,50948263.3920309,1103.74587,28830107.5607773,846.42646,22118155.8312536,0,0,2023-09-12 19:00:00+00:00
HOUR,1694548800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26066.33,26117.7,26053.15,26073.9,1694548800,1694552399,26065.89,26117.7,1694550930,26053.15,1694548862,26073.9,17753,8919,8834,0,541.49518,14128981.4118866,276.11641,7204296.1729253,265.37877,6924685.2389613,0,0,2023-09-12 20:00:00+00:00
HOUR,1694552400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26073.9,26159.11,26063.61,26102.98,1694552400,1694555999,26073.91,26159.11,1694553161,26063.61,1694552451,26102.98,17489,9274,8215,0,501.22004,13086050.8429495,257.74718,6729564.5850783,243.47286,6356486.2578712,0,0,2023-09-12 21:00:00+00:00
HOUR,1694556000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26102.98,26102.99,25920.0,25970.01,1694556000,1694559599,26102.98,26102.99,1694556005,25920.0,1694557422,25970.01,25750,10655,15095,0,1164.85984,30285815.527069,436.67432,11351576.3841147,728.18552,18934239.1429543,0,0,2023-09-12 22:00:00+00:00
HOUR,1694559600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25970.01,25970.01,25790.0,25840.1,1694559600,1694563199,25970.01,25970.01,1694559605,25790.0,1694560263,25840.1,34989,15660,19329,0,1587.28442,41059678.8734418,615.07422,15907310.6523514,972.2102,25152368.2210904,0,0,2023-09-12 23:00:00+00:00
HOUR,1694563200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25840.1,25985.91,25764.17,25919.51,1694563200,1694566799,25840.09,25985.91,1694565714,25764.17,1694563648,25919.51,32479,18088,14391,0,1616.25501,41826742.0767077,920.48262,23821595.663765,695.77239,18005146.4129427,0,0,2023-09-13 00:00:00+00:00
HOUR,1694566800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25919.51,25963.63,25905.44,25957.47,1694566800,1694570399,25921.68,25963.63,1694567658,25905.44,1694566807,25957.47,18567,10097,8470,0,1068.01142,27697963.64994,535.7378,13895107.1531779,532.27362,13802856.4967621,0,0,2023-09-13 01:00:00+00:00
HOUR,1694570400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25957.47,25970.03,25906.67,25910.5,1694570400,1694573999,25957.47,25970.03,1694570546,25906.67,1694573817,25910.5,17433,8555,8878,0,1095.48291,28403403.6337698,488.06982,12655836.4215374,607.41309,15747567.2122324,0,0,2023-09-13 02:00:00+00:00
HOUR,1694574000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25910.5,25924.1,25836.96,25879.24,1694574000,1694577599,25910.49,25924.1,1694574332,25836.96,1694577148,25879.24,19323,9002,10321,0,699.8256,18115325.4060201,311.78485,8071390.4532334,388.04075,10043934.9527867,0,0,2023-09-13 03:00:00+00:00
