trial,sharpe,return,drawdown,atr_multiplier,use_leverage,plot_path,EMA_Signal,MACD_Signal,BB_RSI_Signal,GoldenCross_Signal,Stochastic_Signal,OBV_Signal,VWAP_Signal
11,7.0474515889339004,0.6003844385874313,-0.16271766072817329,3.722739380875672,True,../data/optuna_backtest_results\trial_11_EMA_9_MACD26_BB_R19_Gold11_Stoc20_OBV_9_VWAP3.html,0.09707577595386505,0.26022727847473665,0.19078696884197918,0.11176164799630012,0.20591928476327717,0.0953840092671273,0.03884503470271449
12,-3.0361172792178976,-0.21117742469805023,-0.43673302041281614,3.8874307578239216,True,../data/optuna_backtest_results\trial_12_EMA_10_MACD22_BB_R25_Gold10_Stoc21_OBV_7_VWAP2.html,0.10529616196712682,0.2257296802657329,0.2515541672605055,0.10769450477494286,0.2144040917569921,0.07289349826723149,0.02242789570746829
13,0.9487416415457585,0.39668546711086883,-3.316234564483178,3.9114873600853315,True,../data/optuna_backtest_results\trial_13_EMA_4_MACD27_BB_R20_Gold10_Stoc11_OBV_8_VWAP16.html,0.045102336378809296,0.27726374761188965,0.20197055675791847,0.10930033471409228,0.11400804438941742,0.08921430740465194,0.16314067274322097
14,1.875152224302488,0.7234587727243724,-2.8533198307484464,3.792613711710432,True,../data/optuna_backtest_results\trial_14_EMA_13_MACD22_BB_R16_Gold5_Stoc19_OBV_17_VWAP4.html,0.13223258062332438,0.2294775863133203,0.1662826574450916,0.054530304486655926,0.1956449990754855,0.17456747660188685,0.0472643954542355
15,,0.0,0.0,2.217626668643166,True,../data/optuna_backtest_results\trial_15_EMA_11_MACD14_BB_R24_Gold6_Stoc24_OBV_6_VWAP12.html,0.11336610556725728,0.14288923682976376,0.24672851693818318,0.06253515085054373,0.24884533743851703,0.06157350869392991,0.12406214368180511
16,2.8440002780976963,1.2416255326229253,-2.91406552306408,4.3503536759942705,True,../data/optuna_backtest_results\trial_16_EMA_13_MACD17_BB_R7_Gold7_Stoc30_OBV_7_VWAP15.html,0.13692917608264626,0.1751318505781353,0.07013079049024379,0.07784125109605361,0.3044571516055801,0.07573359033127203,0.1597761898160688
17,-0.6950817344362268,-1.9740207721265612,-19.632349246497725,3.4029321074677474,True,../data/optuna_backtest_results\trial_17_EMA_17_MACD15_BB_R22_Gold0_Stoc4_OBV_23_VWAP15.html,0.17945597302846952,0.15211187658938258,0.22684364728603312,0.0004068054127358919,0.04915664827778977,0.23375060496620198,0.1582744444393872
18,-7.349166887033544,-1.5685343322814016,-3.57700253590586,2.361657915187625,True,../data/optuna_backtest_results\trial_18_EMA_7_MACD29_BB_R28_Gold15_Stoc0_OBV_12_VWAP7.html,0.07148081497110718,0.2941761586439976,0.28348803755976393,0.15664591899359057,0.0015146677256907132,0.12068598169919656,0.07200842040665337
19,-11.515730820633653,-2.0152741750179004,-2.959688804552163,1.5490238936418133,True,../data/optuna_backtest_results\trial_19_EMA_14_MACD11_BB_R15_Gold16_Stoc12_OBV_18_VWAP11.html,0.14445052634363664,0.11406953996368903,0.15405545601406007,0.16663463862146788,0.12167701184246214,0.18095185003736544,0.11816097717731879
20,-2.502353065446106,-0.18347135408205428,-0.43673302041281614,4.913283902646201,True,../data/optuna_backtest_results\trial_20_EMA_5_MACD29_BB_R21_Gold8_Stoc27_OBV_5_VWAP3.html,0.050848887390345834,0.294667004237,0.21544805203008124,0.08633869651478987,0.2710588457469835,0.050285860532355287,0.03135265354844431
21,-0.4967313409826052,-0.21625635445938762,-3.2904636025663403,4.150334451701355,True,../data/optuna_backtest_results\trial_21_EMA_17_MACD15_BB_R18_Gold2_Stoc14_OBV_19_VWAP10.html,0.1722510358549887,0.15559507225216423,0.18978577485560139,0.029885263762033883,0.14886731707952783,0.19571354952932182,0.10790198666636223
22,4.321649252152054,3.8594432815881374,-6.08476197070682,4.27554893283558,True,../data/optuna_backtest_results\trial_22_EMA_11_MACD27_BB_R5_Gold7_Stoc26_OBV_5_VWAP15.html,0.11435896066542144,0.2774677810175553,0.05859200008082093,0.07531892280107959,0.26473444766736104,0.05558805577991362,0.15393983198784802
23,5.260303256269916,4.194716960606626,-3.476817394045173,3.5515315553035633,True,../data/optuna_backtest_results\trial_23_EMA_10_MACD27_BB_R4_Gold11_Stoc24_OBV_3_VWAP17.html,0.10740915429274915,0.27081832742129913,0.047261441265870736,0.11754771135435338,0.24750688627821696,0.0344411223459734,0.17501535704153726
24,8.709163553701856,4.1410159716969375,-1.844457307040992,3.5135368132971827,True,../data/optuna_backtest_results\trial_24_EMA_9_MACD0_BB_R8_Gold17_Stoc33_OBV_6_VWAP24.html,0.09997026631551222,0.00015266866458572327,0.08221691073518732,0.17544474737320828,0.33233073299026566,0.06167245114381165,0.24821222277742908
25,8.65891218715368,4.110718797294921,-1.8375654852228474,3.4939438268790077,True,../data/optuna_backtest_results\trial_25_EMA_9_MACD1_BB_R9_Gold17_Stoc33_OBV_4_VWAP24.html,0.0933142386849833,0.012263943980540258,0.09115041565063085,0.17333436694619836,0.33685617375537785,0.04450003522318023,0.24858082575908913
26,-3.678400222412824,-7.702828517098692,-17.512028382094613,2.542210481526554,True,../data/optuna_backtest_results\trial_26_EMA_9_MACD2_BB_R1_Gold18_Stoc27_OBV_11_VWAP29.html,0.09141322528136796,0.021399922224913256,0.015320946545492235,0.18395467767163914,0.2732676788002255,0.11702666450114646,0.29761688497521543
27,6.605526309544696,3.9412056683884478,-1.5562002921477691,2.9216514965001625,False,../data/optuna_backtest_results\trial_27_EMA_0_MACD11_BB_R8_Gold20_Stoc29_OBV_0_VWAP29.html,0.008883528004470129,0.11064881529123094,0.08768918920070956,0.20290819797603515,0.2919248880894301,0.0049667094196719705,0.2929786720184521
