datetime,OPEN,HIGH,LOW,CLOSE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,VOLUME,VOLUME_BUY,VOLUME_SELL,return,log_return,hourly_volatility,EMA_8,EMA_13,EMA_21,EMA_signal,EMA_short,EMA_long,MACD,Signal_Line,MACD_Hist,SMA20,STD20,Upper_BB,Lower_BB,RSI_14
2024-02-22 19:00:00+00:00,51718.81,51718.82,51460.8,51509.99,50652,27901,22751,1412.76654,602.38295,810.38359,,,,51509.99,51509.99,51509.99,0,51509.99,51509.99,0.0,0.0,0.0,,,,,
2024-02-22 20:00:00+00:00,51509.99,52065.78,51461.1,51995.58,108926,71626,37300,3121.92839,1779.83133,1342.09706,0.0094271033638329,0.009382945528308371,,51617.898888888885,51579.36,51554.134545454544,1,51584.696153846155,51545.95962962963,38.73652421652514,7.747304843305028,30.989219373220113,,,,,
2024-02-22 21:00:00+00:00,51995.58,52007.65,51545.26,51656.96,54274,25981,28293,1264.97024,667.58788,597.38236,-0.006512476637437259,-0.006533775335288545,,51626.579135802465,51590.44571428572,51563.48231404959,1,51595.81366863905,51554.18187928669,41.63178935235919,14.524201745115862,27.10758760724333,,,,,
2024-02-22 22:00:00+00:00,51656.96,51717.87,51184.04,51456.01,73657,24349,49308,1357.06045,695.54171,661.51874,-0.0038900856728696365,-0.0038976717361557766,,51588.674883401916,51571.2406122449,51553.71210368144,1,51574.30541192535,51546.909888228416,27.395523696934106,17.098466135479512,10.297057561454594,,,,,
2024-02-22 23:00:00+00:00,51456.01,51482.69,51230.0,51288.42,38825,16468,22357,1038.76395,535.06306,503.70089,-0.0032569567675380107,-0.0032622721957820877,,51521.95157597927,51530.837667638494,51529.5946397104,-1,51530.32304085991,51527.76248910039,2.5605517595249694,14.190883260288604,-11.630331500763635,,,,,
2024-02-23 00:00:00+00:00,51288.42,51483.09,51263.53,51455.85,38508,18656,19852,835.28774,474.5484,360.73934,0.003264479584280444,0.0032591627388156527,,51507.262336872765,51520.125143690144,51522.89058155491,-1,51518.86564995839,51522.43563805591,-3.5699880975225824,10.638708988726368,-14.20869708624895,,,,,
2024-02-23 01:00:00+00:00,51455.85,51548.54,51310.41,51311.11,37966,16208,21758,744.66619,389.7061,354.96009,-0.0028128968815013256,-0.0028168605105324054,,51463.67292867882,51490.2658374487,51503.63780141355,-1,51486.903242272485,51506.78188708881,-19.878644816322776,4.5352382277165395,-24.413883044039316,,,,,
2024-02-23 02:00:00+00:00,51311.11,51426.0,51035.52,51096.39,47173,18964,28209,1056.04694,454.71057,601.33637,-0.004184668778360101,-0.0041934490082159255,,51382.05450008353,51433.997860670315,51466.615274012314,-1,51426.82428192287,51476.382488045194,-49.55820612232492,-6.283450642291753,-43.274755480033164,,,,,
2024-02-23 03:00:00+00:00,51096.39,51169.99,50971.11,51100.0,70470,25006,45464,2059.56349,779.97646,1279.58703,7.065078374424161e-05,7.064828809516546e-05,,51319.37572228719,51386.283880574556,51433.28661273847,-1,51376.543623165504,51448.50230374555,-71.95868058004271,-19.418496629841947,-52.54018395020076,,,,,
2024-02-23 04:00:00+00:00,51100.0,51321.92,51003.0,51219.59,64449,20057,44392,1017.60517,474.03119,543.57398,0.002340313111545811,0.0023375788440129293,,51297.20111733448,51362.470469063905,51413.85964794406,-1,51352.39691190927,51431.54583680143,-79.14892489215708,-31.364582282304976,-47.784342609852104,,,,,
2024-02-23 05:00:00+00:00,51219.59,51239.43,51116.0,51236.01,43559,17611,25948,760.84053,297.73701,463.10352,0.0003205804654040634,0.0003205290904662384,,51283.60309126015,51344.40468776906,51397.69149813096,-1,51334.491233154,51417.061700742066,-82.57046758806246,-41.60575934345647,-40.96470824460599,,,,,
2024-02-23 06:00:00+00:00,51236.01,51313.99,51211.1,51301.11,40130,14663,25467,606.28765,264.53528,341.75237,0.0012705907427217333,0.001269784225400663,,51287.49351542456,51338.21973237349,51388.91136193724,-1,51329.35565882262,51408.472685872286,-79.11702704966592,-49.10801288469836,-30.00901416496756,,,,,
2024-02-23 07:00:00+00:00,51301.11,51301.11,50889.0,50915.96,51027,19631,31396,1574.15652,509.46257,1064.69395,-0.007507634825055454,-0.00753595896932671,0.0047261585369245355,51204.93051199688,51277.896913462995,51345.9157835793,-1,51265.756326696064,51371.990264696564,-106.23393800049962,-60.533197907858614,-45.700740092641006,,,,,
2024-02-23 08:00:00+00:00,50915.96,51170.0,50830.0,50958.54,78988,26380,52608,1594.2256,727.72768,866.49792,0.0008362800190746533,0.0008359305317720942,0.0035026872070579194,51150.17706488646,51232.274497254,51310.699803253905,-1,51218.49227643513,51341.364319163484,-122.87204272835515,-73.00096687195793,-49.871075856397226,,,,,
2024-02-23 09:00:00+00:00,50958.54,51066.66,50870.1,51009.38,78061,25866,52195,1543.80118,778.32059,765.48059,0.000997673795206877,0.000997176449471107,0.0032185685586504464,51118.88882824503,51200.43242621772,51283.30709386719,-1,51186.32115698357,51316.772888114334,-130.45173113076453,-84.49111972371925,-45.96061140704528,,,,,39.58334200330433
2024-02-23 10:00:00+00:00,51009.38,51174.56,50965.81,51171.09,56808,19620,37188,840.94568,434.83572,406.10996,0.003170201245339621,0.003165186752544098,0.0032957851154935287,51130.48908863502,51196.24065104376,51273.10553987926,-1,51183.97790206302,51305.981563068824,-122.0036610058014,-91.99362798013568,-30.01003302566572,,,,,30.171472547557684
2024-02-23 11:00:00+00:00,51171.09,51263.22,51141.2,51218.95,51767,20740,31027,783.12054,371.51104,411.6095,0.0009352937371474024,0.000934856622492529,0.0031926549240860625,51150.14706893835,51199.484843751794,51268.182308981144,-1,51189.35822482256,51299.53478061928,-110.17655579672282,-95.63021354345312,-14.5463422532697,,,,,37.75338451817093
2024-02-23 12:00:00+00:00,51218.95,51225.25,50926.21,50994.01,50100,20766,29334,1388.692,664.98466,723.70734,-0.004391733918793661,-0.004401405910464382,0.003222244481581563,51115.44994250761,51170.131294644394,51243.25755361922,-1,51159.30465177293,51276.90331538822,-117.59866361528839,-100.02390355782018,-17.57476005746821,,,,,37.25362526761868
2024-02-23 13:00:00+00:00,50994.01,51095.0,50925.02,51058.2,74585,26794,47791,1238.2768,621.50766,616.76914,0.0012587752953727716,0.0012579837019731587,0.0031991369090090677,51102.72773306147,51154.1411096952,51226.43413965384,-1,51143.75008996171,51260.70306980391,-116.95297984220088,-103.40971881469632,-13.543261027504556,,,,,43.26400917560032
2024-02-23 14:00:00+00:00,51058.2,51333.47,50800.32,51126.0,157283,50025,107258,3375.71574,1751.78179,1623.93395,0.0013278964005782878,0.0013270155258736224,0.0029967508252997386,51107.8993479367,51150.120951167315,51217.303763321666,-1,51141.019306890674,51250.72506463325,-109.70575774257304,-104.66892660027167,-5.0368311423013665,51253.957500000004,262.37335930381477,51778.704218607636,50729.21078139237,39.75143700481591
2024-02-23 15:00:00+00:00,51126.0,51126.0,50833.02,50911.11,125038,49698,75340,2300.14381,1146.64509,1153.49872,-0.004203145170754596,-0.004212003215229151,0.003238587698420141,51064.168381728545,51115.976529571984,51189.46796665606,-1,51105.64864429211,51225.56839317893,-119.91974888682307,-107.71909105758196,-12.20065782924111,51224.0135,265.76748031384284,51755.54846062769,50692.478539372314,38.090984875550745
2024-02-23 16:00:00+00:00,50911.11,51121.01,50629.33,51053.07,109970,48009,61961,2839.21808,1572.4282,1266.78988,0.0027883894104843154,0.0027845090643358406,0.0032742309528828476,51061.702074677756,51106.98988249028,51177.06815150551,-1,51097.55962209332,51212.79073442494,-115.23111233161762,-109.22149531238911,-6.009617019228514,51176.888,196.21487677919382,51569.31775355839,50784.45824644161,48.65184484389783
2024-02-23 17:00:00+00:00,51053.07,51172.91,50974.0,51139.14,63889,26556,37333,1041.56099,580.92865,460.63234,0.001685892738673589,0.0016844732167276496,0.003319885542877071,51078.91050252714,51111.58275642024,51173.62013773228,-1,51103.956603309736,51207.335124467536,-103.3785211577997,-108.05290048147123,4.6743793236715305,51150.996999999996,160.43595020082935,51471.868900401656,50830.125099598336,51.1586051743532
